classification,colour
PPxm_OR,#e58714
MHvh,#7340a2
SBSdw1,#3ea8ea
ESSFmwp,#ba6dd4
SBSdw2,#0ebbe6
SBSdw3,#5964e3
ESSFmw2,#a16cd2
MHmmp,#9a6bcd
CWHxm_WA,#33e31b
ESSFwm_MT,#d97ee1
ESSFwmp,#c35ad8
BWBSmw,#1645f0
CWFdm_OR,#a4b4f2
IGFdk_WA,#479edc
CMXdm_OR,#cc87e9
BGdh_OR,#e8241a
IDFxx1,#c8c654
MHms_WA,#a14ee4
BWBScmW,#1774ff
MSxv,#cb1b5e
ESSFwmw,#e115bf
ESSFun,#921ad2
ESSFmvp,#af47cb
BGmm_MT,#cd423f
BWBSnm,#485cc9
ESSFmv3,#ad3fe4
ESSFmv4,#974ceb
ESSFmv1,#b54dd7
MSdc2,#f066e0
SBSmk1,#6d8cd4
ESSFmv2,#be79e2
MSdc3,#cf2c5d
SWBuns,#80ccd4
SBSmk2,#448cea
CRFdh_CA,#891a14
WJPxm_OR,#987610
CWHvm1,#24ac12
MHun,#924dd3
MSdc1,#e760af
ESSFabN,#e4a6f3
ESSFabS,#d876dd
IDFdm_MT,#dbd679
ICHmw1,#45e732
CDFmm_WA,#ebde1b
JPWdm_WY,#b08595
ICHmw2,#96db71
ESSFmw_WA,#8710e1
ICHmw5,#92e681
CWHms_OR,#53e33c
MSmm_ID,#df49c9
CMAun_OR,#cfdecf
ICHmw3,#7cdc71
ICHmw4,#73d582
BWBSlbE,#516eb5
MSdk_CO,#e50f6f
ICHmw_MT,#86e869
ESSFmw1,#ae3ae0
MHmsp,#dbc5e3
BWBScmE,#4797e7
BWBScmC,#487fb7
BWBSmk,#1633f0
BWBSlbN,#4f7acf
BGwm_WA,#d51925
ICHxw_ID,#7dcd15
SBPSmc,#3ac6cd
IMAun,#e9e4f4
JPWdw_UT,#a77274
CWHdm2,#5dd991
SBPSmk,#6ac6c9
CWHvh_WA,#3bd04f
ESSFwm1,#d484ee
MHmm1,#a75fef
BWBSlbW,#2d5391
CWHdm1,#40d964
IGFdw_OR,#4c9edc
GBDdw_UT,#a4a487
ESSFwm4,#c556e6
CWHdm_WC,#becf50
ICHdh_ID,#71d86b
ESSFwm2,#b861ce
MHmm2,#984fcb
IMAun_WY,#ebf3f3
CWHdm_WA,#1bb926
ESSFwm3,#d520ec
ICHvk1,#16e024
OWdm_OR,#b0cf13
IMAun_ID,#e7ddd2
MSdh_WY,#e02dab
ESSFmcp,#b23ad3
ESSFabC,#c155d9
ICHvk2,#30da4c
SWBmk,#92bec2
SBSmw,#7aabd5
BWBSlf,#253cec
CWHwh_WA,#70eb74
ESSFabE,#b62dd8
IDFxw,#e8e785
ESSFmcw,#987db7
CWFmm_OR,#0d47ab
IDFdm1,#e9e56e
IDFdm2,#e9d924
BWBSwk3,#5f5dcc
ICHxw,#75e67d
BWBSwk1,#7a88e2
BWBSwk2,#5b69c9
ICHxh_ID,#becf50
ICHxm1,#a4e949
MSun,#e15989
CMXmm_OR,#88abbe
MSabN,#d53c55
BWBSdmN,#5a7e99
MHdm_OR,#7f0fef
IMAun_WA,#f2effe
MSabS,#ca2859
BWBSdmS,#a6c8f3
BAFAun,#e2f5f1
ESSFdkp,#c27ad8
MSxk_WA,#d720a9
ESSFdw_ID,#987db7
ICHwk3,#4ccc38
ICHwk4,#85df62
PPmx_WY,#ef9c15
IDFxh_OR,#e8e818
MHunp,#a748da
ICHwk1,#93d478
IDFww,#e9e55c
ICHwk2,#92e188
ICHdw_ID,#1be714
ESSFdkw,#5f2af0
CWHvm_WA,#289838
MMMdk_NV,#c43c39
IDFdx_MT,#dad974
IDFxc,#cec819
CWHms3,#60ff17
SBSmh,#86a7e0
CWHws3,#52ba7e
ESSFwk2,#bc1cd8
CWHms1,#24da27
CWHms2,#87cb78
CWHvh3,#4de15a
ESSFwk1,#ac5bcf
MSdh_UT,#d158a1
MHRFmm_OR,#805fb2
BGmw_WA,#e4585d
CWHvh1,#22e514
SBSmm,#12b7d8
ICHmc1,#5cee59
CWHvh2,#48eb4d
IDFxk,#e0ec6d
ICHmc2,#20dc3f
IDFxm,#e0ec6d
IDFxm_CO,#d4cf29
MGPdm,#bb8027
FGff,#dbb74a
IDFww2,#e5c836
ESSFxx_WY,#e035e5
IDFdk3,#cdc553
IDFdk4,#eae30e
ESSFdm_ID,#5f2af0
IDFdk1,#d7d768
IDFdk_WA,#d0cc51
IDFdk2,#cdc753
IDFdk5,#e4e63e
ICHwc,#6de380
MHRFdm_OR,#74477a
SGPdm_CO,#ded479
SWBvks,#add5de
MSdm_WA,#e03f9d
BGdw_OR,#f5453f
GOun_CO,#5d65d0
IGFxm_OR,#acd9e5
CDFmm,#faea05
ESSFdk1,#7015df
CWHwh2,#68e41a
ESSFdk2,#a622ce
OWun_CA,#c4bd7d
BGxx_WY,#df325e
CWHwh1,#13d219
ESSFxk_MT,#d683dd
CWHxs,#c4e748
IDFdh_WA,#deec18
SBAPfp,#1da5e8
IDFxh1,#e8e983
MHds_WA,#8d5a99
ESSFdh_WA,#671da7
IDFxh2,#d7da76
CWFwm_OR,#2168cb
IMAab,#dff8f1
PPxh_WA,#e7ab1d
GBDxh_NV,#a09d85
CDFxm_CA,#fcfc1f
ESSFwvp,#a13aca
ICHvc,#81e689
IWFdw_OR,#77d0ad
IMAun_CO,#eaead9
CMAwh,#f3e9ee
